ITEM: TIMESTEP
 1
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.000000 0.000000 0.000000
2 0.000000 1.668750 1.668750
3 1.668750 0.000000 1.668750
4 1.668750 1.668750 0.000000
5 3.337500 0.000000 0.000000
6 3.337500 1.668750 1.668750
7 5.006250 0.000000 1.668750
8 5.006250 1.668750 0.000000
9 6.675000 0.000000 0.000000
10 6.675000 1.668750 1.668750
11 8.343750 0.000000 1.668750
12 8.343750 1.668750 0.000000
13 0.000000 3.337500 0.000000
14 0.000000 5.006250 1.668750
15 1.668750 3.337500 1.668750
16 1.668750 5.006250 0.000000
17 3.337500 3.337500 0.000000
18 3.337500 5.006250 1.668750
19 5.006250 3.337500 1.668750
20 5.006250 5.006250 0.000000
21 6.675000 3.337500 0.000000
22 6.675000 5.006250 1.668750
23 8.343750 3.337500 1.668750
24 8.343750 5.006250 0.000000
25 0.000000 6.675000 0.000000
26 0.000000 8.343750 1.668750
27 1.668750 6.675000 1.668750
28 1.668750 8.343750 0.000000
29 3.337500 6.675000 0.000000
30 3.337500 8.343750 1.668750
31 5.006250 6.675000 1.668750
32 5.006250 8.343750 0.000000
33 6.675000 6.675000 0.000000
34 6.675000 8.343750 1.668750
35 8.343750 6.675000 1.668750
36 8.343750 8.343750 -0.000000
37 0.000000 0.000000 3.337500
38 0.000000 1.668750 5.006250
39 1.668750 0.000000 5.006250
40 1.668750 1.668750 3.337500
41 3.337500 0.000000 3.337500
42 3.337500 1.668750 5.006250
43 5.006250 0.000000 5.006250
44 5.006250 1.668750 3.337500
45 6.675000 0.000000 3.337500
46 6.675000 1.668750 5.006250
47 8.343750 0.000000 5.006250
48 8.343750 1.668750 3.337500
49 0.000000 3.337500 3.337500
50 0.000000 5.006250 5.006250
51 1.668750 3.337500 5.006250
52 1.668750 5.006250 3.337500
53 3.337500 3.337500 3.337500
54 3.337500 5.006250 5.006250
55 5.006250 3.337500 5.006250
56 5.006250 5.006250 3.337500
57 6.675000 3.337500 3.337500
58 6.675000 5.006250 5.006250
59 8.343750 3.337500 5.006250
60 8.343750 5.006250 3.337500
61 0.000000 6.675000 3.337500
62 0.000000 8.343750 5.006250
63 1.668750 6.675000 5.006250
64 1.668750 8.343750 3.337500
65 3.337500 6.675000 3.337500
66 3.337500 8.343750 5.006250
67 5.006250 6.675000 5.006250
68 5.006250 8.343750 3.337500
69 6.675000 6.675000 3.337500
70 6.675000 8.343750 5.006250
71 8.343750 6.675000 5.006250
72 8.343750 8.343750 3.337500
73 0.000000 0.000000 6.675000
74 0.000000 1.668750 8.343750
75 1.668750 0.000000 8.343750
76 1.668750 1.668750 6.675000
77 3.337500 0.000000 6.675000
78 3.337500 1.668750 8.343750
79 5.006250 0.000000 8.343750
80 5.006250 1.668750 6.675000
81 6.675000 0.000000 6.675000
82 6.675000 1.668750 8.343750
83 8.343750 -0.000000 8.343750
84 8.343750 1.668750 6.675000
85 0.000000 3.337500 6.675000
86 0.000000 5.006250 8.343750
87 1.668750 3.337500 8.343750
88 1.668750 5.006250 6.675000
89 3.337500 3.337500 6.675000
90 3.337500 5.006250 8.343750
91 5.006250 3.337500 8.343750
92 5.006250 5.006250 6.675000
93 6.675000 3.337500 6.675000
94 6.675000 5.006250 8.343750
95 8.343750 3.337500 8.343750
96 8.343750 5.006250 6.675000
97 0.000000 6.675000 6.675000
98 0.000000 8.343750 8.343750
99 1.668750 6.675000 8.343750
100 1.668750 8.343750 6.675000
101 3.337500 6.675000 6.675000
102 3.337500 8.343750 8.343750
103 5.006250 6.675000 8.343750
104 5.006250 8.343750 6.675000
105 6.675000 6.675000 6.675000
106 6.675000 8.343750 8.343750
107 8.343750 6.675000 8.343750
108 8.343750 8.343750 6.675000
ITEM: TIMESTEP
 2
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
